epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/dis_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/dis_loss,lr/pg0,lr/pg1,lr/pg2
82,9344.38,1.03838,0.61767,0.90874,1.8795,0.86378,0.77371,0.83253,0.5977,1.19461,0.83116,0.97068,0,0.000283085,0.000283085,0.000283085
83,9487.7,1.03741,0.61135,0.90767,1.86264,0.87054,0.76872,0.83221,0.59825,1.19182,0.82415,0.96848,0,0.000268938,0.000268938,0.000268938
84,9626.75,1.03671,0.61274,0.90902,1.87355,0.86937,0.77054,0.83236,0.59748,1.19297,0.82004,0.96906,0,0.000254791,0.000254791,0.000254791
85,9780.54,1.04329,0.61588,0.90789,1.86878,0.87484,0.76844,0.83272,0.59696,1.19462,0.81896,0.96969,0,0.000240644,0.000240644,0.000240644
86,9920.14,1.02754,0.60529,0.90523,1.84813,0.87407,0.76472,0.83102,0.59947,1.19014,0.82856,0.96403,0,0.000226497,0.000226497,0.000226497
87,10065.7,1.03423,0.60898,0.90605,1.84124,0.87174,0.76751,0.8315,0.59804,1.19429,0.82941,0.96743,0,0.000212349,0.000212349,0.000212349
88,10388.8,1.03467,0.60762,0.90639,1.83255,0.87063,0.76928,0.83194,0.59783,1.19178,0.82963,0.9666,0,0.000198202,0.000198202,0.000198202
89,10542.9,1.03741,0.60699,0.90534,1.83389,0.87095,0.77085,0.83273,0.59781,1.19282,0.82986,0.96933,0,0.000184055,0.000184055,0.000184055
90,10683.5,1.02857,0.60379,0.90364,1.82094,0.86789,0.77491,0.83433,0.59774,1.19233,0.81433,0.96923,0,0.000169908,0.000169908,0.000169908
91,10814.6,1.03348,0.59454,0.90356,1.90888,0.86667,0.77824,0.83461,0.59788,1.19174,0.80808,0.97006,0,0.000155761,0.000155761,0.000155761
92,10926.5,1.0179,0.5722,0.89433,1.78895,0.87258,0.77517,0.83485,0.59853,1.19191,0.80459,0.96767,0,0.000141614,0.000141614,0.000141614
93,11040.2,1.00686,0.56511,0.89008,1.76225,0.86981,0.77388,0.83422,0.59777,1.19587,0.81127,0.96906,0,0.000127467,0.000127467,0.000127467
94,11150.6,1.00746,0.56415,0.89029,1.74261,0.8681,0.77415,0.83287,0.59662,1.19842,0.81729,0.97129,0,0.00011332,0.00011332,0.00011332
95,11264.2,1.00473,0.55921,0.8902,1.73334,0.87238,0.77097,0.83205,0.59621,1.2009,0.82536,0.97244,0,9.91726e-05,9.91726e-05,9.91726e-05
96,11367.2,1.00271,0.55763,0.88904,1.71406,0.87072,0.77002,0.8315,0.59639,1.20054,0.8293,0.97212,0,8.50255e-05,8.50255e-05,8.50255e-05
97,11540,0.99765,0.55601,0.88881,1.70477,0.86962,0.77208,0.83121,0.59621,1.19834,0.83127,0.96993,0,7.08784e-05,7.08784e-05,7.08784e-05
98,11675.9,1.0006,0.55607,0.88914,1.70496,0.86659,0.77373,0.83154,0.59619,1.20028,0.83039,0.97273,0,5.67313e-05,5.67313e-05,5.67313e-05
99,11797,0.99502,0.55382,0.88694,1.68585,0.86717,0.77225,0.83153,0.59643,1.20007,0.83019,0.97266,0,4.25842e-05,4.25842e-05,4.25842e-05
100,12019.8,0.9923,0.55323,0.88798,1.67312,0.86786,0.77266,0.83151,0.59723,1.19835,0.82994,0.97027,0,2.84371e-05,2.84371e-05,2.84371e-05
