epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,3782.89,0.90252,0.58973,1.05186,0.85242,0.51589,0.61251,0.45185,1.72374,2.70898,1.45819,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,3870.48,0.89236,0.57797,1.04228,0.86299,0.54046,0.6206,0.46919,1.7573,2.69436,1.49991,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,3958.02,0.87778,0.56488,1.04298,0.923,0.50533,0.6089,0.46171,1.82107,2.84361,1.53191,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,4048.67,0.88176,0.56831,1.03748,0.8467,0.52328,0.61147,0.46004,1.74739,2.71495,1.46762,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,4138.33,0.87414,0.5593,1.03829,0.85893,0.53616,0.62737,0.47431,1.71786,2.608,1.43972,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,4225.7,0.87522,0.56627,1.03878,0.85716,0.54833,0.62474,0.4699,1.75714,2.64638,1.46448,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,4317.21,0.8678,0.55414,1.03131,0.86842,0.52276,0.61588,0.46665,1.73542,2.71153,1.4444,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,4406.32,0.86356,0.55354,1.03134,0.85633,0.53851,0.62579,0.47117,1.77445,2.6776,1.50665,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,4494.8,0.86235,0.554,1.02619,0.89026,0.52144,0.61858,0.47284,1.73532,2.74955,1.48576,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,4583.4,0.85586,0.54145,1.02724,0.88591,0.53071,0.6216,0.47355,1.77423,2.6816,1.50816,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,4672.74,0.85288,0.53827,1.03296,0.89837,0.5296,0.61525,0.46959,1.76738,2.73065,1.47588,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,4763,0.84859,0.54168,1.02853,0.84249,0.5418,0.61976,0.47014,1.778,2.72273,1.49775,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,4854.32,0.85065,0.54414,1.02853,0.89029,0.53974,0.63097,0.47683,1.78228,2.65818,1.49866,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,4942.53,0.83497,0.52511,1.01943,0.88534,0.54014,0.62704,0.47904,1.7799,2.66667,1.50775,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,5040.03,0.83433,0.52734,1.01201,0.85199,0.54423,0.62398,0.4821,1.76501,2.71407,1.50301,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,5133.31,0.82514,0.52028,1.01889,0.85531,0.53855,0.62653,0.47956,1.73357,2.67937,1.45441,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,5222.19,0.83381,0.52363,1.02184,0.87975,0.53066,0.60635,0.4707,1.8023,2.95426,1.52552,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,5311.42,0.81593,0.51191,1.01037,0.87676,0.53564,0.61557,0.48244,1.72396,2.81438,1.44844,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,5400.55,0.82088,0.51299,1.01273,0.87747,0.52616,0.60432,0.47625,1.73824,3.04679,1.44354,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,5489.86,0.80894,0.51128,1.00781,0.87725,0.52661,0.61034,0.47435,1.74448,2.90596,1.46765,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,5578.96,0.80809,0.50996,1.01051,0.82869,0.53553,0.61162,0.4756,1.71132,2.81646,1.43315,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,5667.59,0.81297,0.50929,1.006,0.84172,0.51429,0.59196,0.46313,1.70659,3.09336,1.42379,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,5756.88,0.7999,0.4964,1.00149,0.90125,0.50502,0.59393,0.47019,1.76913,3.23975,1.46796,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,5849.98,0.79852,0.49793,1.00288,0.87953,0.51793,0.59918,0.47389,1.74111,3.11962,1.4463,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,5950.73,0.79554,0.497,1.00212,0.87916,0.5249,0.60697,0.47962,1.72931,3.03296,1.44686,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,6044.93,0.77738,0.48577,0.99568,0.88284,0.51758,0.59385,0.47304,1.74272,3.17002,1.47644,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,6138.38,0.79347,0.49605,1.00445,0.89614,0.50805,0.57988,0.46683,1.76972,3.37795,1.47876,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,6232.13,0.77475,0.4807,0.99365,0.88417,0.52475,0.59418,0.473,1.74524,3.10095,1.45927,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,6326.68,0.77839,0.48379,0.99062,0.9069,0.52008,0.5953,0.47641,1.72854,3.0936,1.45891,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,6420.51,0.77424,0.47425,0.99342,0.90677,0.52858,0.60176,0.48199,1.72692,2.98196,1.45298,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,6514.98,0.75879,0.47017,0.98411,0.9252,0.52051,0.59728,0.47871,1.75982,3.11772,1.48192,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,6608.97,0.77419,0.47837,0.99441,0.91163,0.51145,0.5927,0.47666,1.7263,3.18509,1.45562,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,6702.7,0.76265,0.47498,0.98454,0.9094,0.51202,0.59294,0.47465,1.74096,3.13927,1.46152,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,6796.27,0.7549,0.46318,0.98872,0.92049,0.50919,0.58834,0.47617,1.76908,3.29219,1.4841,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,6889.94,0.75626,0.46163,0.98326,0.90443,0.5076,0.58305,0.47378,1.76461,3.32089,1.48483,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,6984.32,0.74361,0.46069,0.97781,0.89564,0.51927,0.58838,0.47583,1.74912,3.23141,1.47139,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,7078.02,0.75494,0.46111,0.98155,0.90905,0.51712,0.59577,0.47785,1.73729,3.14713,1.45968,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,7172.13,0.74592,0.45589,0.98754,0.89249,0.51147,0.58793,0.47355,1.7327,3.21869,1.43438,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
