epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
69,8495.88,0.95098,0.53119,0.88738,0.89031,0.80781,0.86058,0.62547,1.15364,0.74931,0.96533,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,8603.19,0.94262,0.52685,0.88737,0.8856,0.8094,0.86059,0.62596,1.15282,0.75032,0.96522,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,8718.92,0.93448,0.51933,0.88691,0.88008,0.8129,0.86032,0.62676,1.15239,0.75051,0.9644,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,8825.53,0.93237,0.52372,0.88503,0.87976,0.81211,0.86055,0.62647,1.15325,0.75297,0.96503,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,8937.03,0.93266,0.5198,0.8852,0.88301,0.80762,0.86045,0.62661,1.15465,0.75441,0.966,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,9041.11,0.92821,0.51708,0.88391,0.88064,0.80849,0.86038,0.62698,1.15476,0.7548,0.96679,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,9153.65,0.92182,0.51188,0.88112,0.88112,0.80965,0.86048,0.62739,1.15373,0.75474,0.966,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,9269.13,0.91515,0.50702,0.88178,0.88238,0.81036,0.86006,0.62721,1.15328,0.75554,0.966,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,9384.95,0.91012,0.50428,0.87927,0.88432,0.81034,0.86021,0.62645,1.15275,0.75711,0.96564,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,9495.18,0.91235,0.50288,0.87962,0.88337,0.81117,0.85948,0.62599,1.15216,0.75814,0.96538,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,9605.02,0.89772,0.49642,0.87756,0.88598,0.80946,0.8593,0.62612,1.15132,0.75898,0.96474,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,9713,0.8976,0.49565,0.8763,0.8831,0.81061,0.85916,0.62596,1.15152,0.7607,0.96499,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,9845.23,0.88615,0.49026,0.87532,0.88275,0.8105,0.85882,0.62576,1.15168,0.76181,0.96498,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,9964.36,0.89219,0.49091,0.87489,0.8834,0.81019,0.85889,0.62628,1.15218,0.76311,0.96541,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,10083.3,0.88644,0.4867,0.87334,0.8842,0.80911,0.85887,0.62661,1.15222,0.76468,0.96565,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,10200.8,0.87141,0.47845,0.87063,0.88499,0.80776,0.85809,0.62644,1.15166,0.76649,0.965,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,10319.8,0.88191,0.47995,0.87003,0.88748,0.80564,0.8587,0.62598,1.15117,0.76714,0.96488,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,10429.4,0.86775,0.47524,0.86872,0.88757,0.80525,0.8578,0.62571,1.15105,0.76794,0.96486,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,10554.4,0.86548,0.47025,0.86823,0.887,0.80674,0.85769,0.6253,1.15154,0.76946,0.96515,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,10662.6,0.86355,0.47014,0.86755,0.88854,0.80554,0.85754,0.62561,1.15199,0.76963,0.96556,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,10774.8,0.85983,0.4672,0.86459,0.88861,0.80479,0.85742,0.62527,1.15205,0.77004,0.96544,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,10894.1,0.85852,0.46687,0.86402,0.88837,0.8045,0.85754,0.62582,1.15212,0.77049,0.9656,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,11007.5,0.84919,0.44897,0.8572,0.88688,0.80608,0.85737,0.62506,1.15282,0.77065,0.96599,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,11104.8,0.83364,0.43588,0.85101,0.88459,0.80712,0.85723,0.62523,1.15317,0.77191,0.96615,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,11203.4,0.82127,0.42738,0.84787,0.88521,0.80588,0.85703,0.62506,1.15281,0.77254,0.96563,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,11294.2,0.81952,0.4255,0.84719,0.88377,0.80647,0.85683,0.62507,1.15338,0.77365,0.96607,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,11380,0.81054,0.42011,0.84549,0.88502,0.80405,0.8562,0.62518,1.15361,0.77517,0.96617,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
