epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
47,9585.16,1.21198,0.76024,0.96761,0.86187,0.77223,0.83353,0.58433,1.26835,0.884,0.9795,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,9771.97,1.20549,0.75637,0.96973,0.8614,0.76946,0.83273,0.58484,1.26679,0.88703,0.97801,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,9955.54,1.20755,0.75162,0.96705,0.85818,0.77111,0.83317,0.58549,1.26607,0.88423,0.97794,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,10140.7,1.1997,0.75207,0.96185,0.86144,0.77191,0.83415,0.58598,1.26441,0.8829,0.97624,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,10325,1.19727,0.746,0.96352,0.86243,0.76912,0.83355,0.58718,1.26312,0.88491,0.97426,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,10510.5,1.19621,0.7412,0.96383,0.85567,0.77371,0.83305,0.58717,1.2624,0.88614,0.97398,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,10698.7,1.18558,0.7399,0.95988,0.86036,0.77036,0.8325,0.58635,1.26279,0.89163,0.97326,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,10893.7,1.18237,0.73419,0.95697,0.85948,0.76887,0.83177,0.58753,1.26399,0.89593,0.97326,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,11085.9,1.18213,0.72828,0.95676,0.86358,0.77017,0.83225,0.58795,1.26429,0.89258,0.97295,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,11274.9,1.18037,0.73331,0.95827,0.86737,0.7676,0.83275,0.58889,1.26222,0.88761,0.97199,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,11574.6,1.1758,0.72586,0.95821,0.86888,0.7666,0.83266,0.5893,1.26034,0.88598,0.97159,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,11886.5,1.1776,0.72333,0.95334,0.86839,0.76599,0.83289,0.58995,1.25939,0.88624,0.97124,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,12266.6,1.16777,0.71804,0.9521,0.871,0.76465,0.83303,0.59005,1.25778,0.88463,0.97036,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,12715.4,1.16395,0.71758,0.95078,0.86985,0.76539,0.83307,0.59054,1.25722,0.88358,0.96971,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,13084.8,1.16189,0.71597,0.94983,0.87167,0.76532,0.83324,0.59101,1.25657,0.88212,0.9695,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,13265.5,1.15442,0.70732,0.95153,0.87052,0.76555,0.83355,0.59153,1.25611,0.88216,0.96957,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,13676.7,1.15276,0.70582,0.94665,0.87113,0.76679,0.83357,0.59255,1.25492,0.88032,0.96899,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,14075,1.15181,0.70104,0.9463,0.87184,0.76719,0.83366,0.59235,1.2539,0.87869,0.96874,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,14491.8,1.13681,0.69609,0.94558,0.87321,0.76895,0.8346,0.59254,1.25332,0.87746,0.96858,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,14845.6,1.13714,0.69103,0.94203,0.87195,0.76921,0.83477,0.59319,1.25312,0.87731,0.9683,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,15154.3,1.13855,0.69294,0.94228,0.87127,0.7711,0.83492,0.59308,1.2533,0.87731,0.96837,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,15448.2,1.13293,0.68676,0.94484,0.87085,0.7712,0.83475,0.59347,1.25299,0.87742,0.9681,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,15736.9,1.12774,0.68514,0.94119,0.87088,0.77194,0.8353,0.59373,1.25298,0.8762,0.96832,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,16025.8,1.12155,0.67936,0.9402,0.87145,0.77115,0.83558,0.5943,1.25281,0.87513,0.96816,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,16315.6,1.12331,0.67662,0.93847,0.87094,0.77172,0.83598,0.5944,1.25253,0.87555,0.9679,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,16606.4,1.12409,0.67692,0.93871,0.87197,0.7714,0.83598,0.59428,1.25225,0.87484,0.9677,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
